time,wx (rad/s),wy (rad/s),wz (rad/s)
31.431,-7.09,-1.53,4.82
31.432,-7.13,-1.34,4.67
31.434,-7.16,-1.13,4.52
31.436,-7.17,-0.93,4.37
31.440,-7.15,-0.74,4.22
31.440,-7.11,-0.57,4.09
31.442,-7.05,-0.43,3.96
31.444,-6.96,-0.32,3.84
31.446,-6.84,-0.23,3.73
31.449,-6.70,-0.17,3.62
31.450,-6.54,-0.13,3.53
31.452,-6.34,-0.11,3.43
31.455,-6.13,-0.14,3.34
31.456,-5.90,-0.19,3.27
31.458,-5.66,-0.29,3.20
31.461,-5.40,-0.44,3.15
31.462,-5.13,-0.63,3.10
31.465,-4.85,-0.85,3.05
31.467,-4.57,-1.10,3.01
31.468,-4.29,-1.38,2.98
31.476,-4.01,-1.67,2.97
31.476,-3.74,-1.97,2.94
31.477,-3.47,-2.28,2.94
31.480,-3.23,-2.58,2.95
31.480,-3.00,-2.88,2.96
31.481,-2.78,-3.17,2.98
31.482,-2.60,-3.44,3.02
31.485,-2.44,-3.69,3.05
31.487,-2.29,-3.93,3.10
31.489,-2.17,-4.16,3.14
31.491,-2.06,-4.37,3.19
31.493,-1.98,-4.58,3.24
31.495,-1.91,-4.76,3.30
31.497,-1.86,-4.92,3.37
31.499,-1.84,-5.07,3.44
31.501,-1.83,-5.20,3.52
31.503,-1.83,-5.32,3.60
31.505,-1.86,-5.42,3.69
31.507,-1.91,-5.49,3.79
31.509,-1.98,-5.54,3.89
31.510,-2.07,-5.56,3.97
31.513,-2.18,-5.55,4.06
31.515,-2.30,-5.49,4.12
31.517,-2.45,-5.38,4.17
31.519,-2.61,-5.24,4.20
31.521,-2.79,-5.04,4.19
31.523,-2.98,-4.79,4.15
31.525,-3.17,-4.51,4.07
31.527,-3.36,-4.18,3.95
31.529,-3.55,-3.81,3.78
31.531,-3.73,-3.41,3.58
31.533,-3.90,-2.97,3.33
31.535,-4.05,-2.52,3.05
31.537,-4.16,-2.04,2.75
31.539,-4.24,-1.55,2.43
31.541,-4.29,-1.08,2.08
31.543,-4.30,-0.63,1.72
31.545,-4.26,-0.22,1.35
31.547,-4.17,0.14,0.97
31.549,-4.04,0.48,0.58
31.551,-3.78,0.66,0.19
31.553,-3.55,1.01,-0.20
31.555,-3.24,1.19,-0.59
31.557,-2.71,1.13,-0.95
31.559,-2.30,1.39,-1.32
31.561,-1.83,1.49,-1.67
31.563,-1.11,1.24,-2.01
31.565,-0.50,1.41,-2.34
31.567,0.07,1.49,-2.63
31.569,0.86,1.17,-2.91
31.571,1.57,1.24,-3.18
31.573,2.13,1.34,-3.39
31.575,2.89,1.00,-3.60
31.577,3.56,0.98,-3.80
31.579,4.01,1.22,-3.96
31.581,4.63,0.93,-4.12
31.583,5.20,0.82,-4.27
31.585,5.50,1.10,-4.39
31.587,5.91,0.99,-4.53
31.589,6.37,0.93,-4.65
31.591,6.55,1.28,-4.76
31.593,6.78,1.38,-4.88
31.595,7.11,1.33,-4.99
31.597,7.18,1.73,-5.11
31.599,7.22,1.96,-5.22
31.601,7.39,1.89,-5.33
31.603,7.36,2.22,-5.44
31.605,7.22,2.54,-5.54
31.607,7.25,2.45,-5.66
31.609,7.15,2.66,-5.76
31.611,6.88,3.01,-5.87
31.613,6.78,2.93,-5.99
31.615,6.68,2.99,-6.11
31.617,6.32,3.39,-6.23
31.619,6.14,3.33,-6.35
31.621,6.02,3.25,-6.48
31.623,5.72,3.57,-6.61
31.625,5.50,3.56,-6.74
31.627,5.43,3.35,-6.88
31.629,5.15,3.61,-7.01
31.632,4.94,3.63,-7.16
31.633,4.93,3.34,-7.28
31.635,4.78,3.48,-7.41
31.637,4.57,3.53,-7.54
31.639,4.61,3.21,-7.65
31.641,4.58,3.21,-7.75
31.643,4.44,3.35,-7.85
31.645,4.53,3.05,-7.94
31.647,4.64,2.93,-8.01
31.651,4.53,3.17,-8.09
31.652,4.63,2.94,-8.16
31.653,4.80,2.75,-8.22
31.655,4.78,2.97,-8.28
31.657,4.87,2.82,-8.34
31.659,5.11,2.53,-8.39
31.661,5.14,2.74,-8.45
31.663,5.20,2.72,-8.51
31.665,5.44,2.38,-8.56
31.667,5.50,2.56,-8.63
31.669,5.53,2.61,-8.69
31.671,5.77,2.27,-8.74
31.673,5.88,2.31,-8.81
31.676,5.85,2.43,-8.87
31.678,6.02,2.10,-8.93
31.680,6.17,2.01,-8.98
31.681,6.08,2.19,-9.04
31.683,6.18,1.91,-9.08
31.685,6.31,1.73,-9.12
31.688,6.21,1.91,-9.15
31.690,6.24,1.72,-9.19
31.691,6.36,1.44,-9.21
31.693,6.27,1.62,-9.24
31.695,6.22,1.56,-9.26
31.698,6.31,1.27,-9.29
31.699,6.22,1.38,-9.32
31.702,6.08,1.43,-9.34
31.703,6.14,1.14,-9.36
31.706,6.07,1.22,-9.40
31.708,5.89,1.38,-9.41
31.711,5.90,1.13,-9.44
31.712,5.88,1.12,-9.45
31.714,5.64,1.42,-9.47
31.716,5.60,1.27,-9.47
31.718,5.60,1.20,-9.48
31.720,5.38,1.55,-9.46
31.722,5.31,1.50,-9.44
31.724,5.33,1.38,-9.41
31.726,5.16,1.72,-9.38
31.728,5.05,1.78,-9.34
31.730,5.10,1.59,-9.30
31.732,4.96,1.87,-9.27
31.734,4.81,1.99,-9.23
31.736,4.85,1.74,-9.19
31.738,4.77,1.87,-9.16
31.740,4.57,2.03,-9.12
31.742,4.59,1.76,-9.09
31.744,4.56,1.74,-9.06
31.746,4.34,1.93,-9.03
31.748,4.34,1.66,-8.99
31.750,4.36,1.48,-8.96
31.752,4.18,1.70,-8.92
31.754,4.12,1.48,-8.89
31.756,4.20,1.20,-8.87
31.758,4.02,1.35,-8.85
31.761,3.95,1.19,-8.85
31.765,4.05,0.79,-8.85
31.765,3.94,0.90,-8.87
31.769,3.84,0.81,-8.89
31.769,3.94,0.41,-8.92
31.770,3.91,0.33,-8.96
31.772,3.78,0.32,-9.02
31.776,3.87,-0.13,-9.06
31.777,3.90,-0.28,-9.11
31.779,3.74,-0.22,-9.16
31.780,3.82,-0.63,-9.20
31.782,3.90,-0.85,-9.25
31.784,3.79,-0.71,-9.28
31.787,3.83,-0.95,-9.32
31.788,3.95,-1.21,-9.34
31.790,3.87,-0.98,-9.37
31.793,3.85,-1.04,-9.41
31.794,4.01,-1.29,-9.43
31.797,3.95,-1.06,-9.44
31.799,3.90,-0.99,-9.47
31.800,4.05,-1.23,-9.48
31.802,4.04,-1.07,-9.49
31.804,3.97,-0.93,-9.51
31.806,4.11,-1.19,-9.52
31.808,4.17,-1.17,-9.53
31.811,4.06,-0.95,-9.55
31.814,4.15,-1.19,-9.56
31.814,4.29,-1.31,-9.57
31.816,4.16,-1.05,-9.59
31.818,4.21,-1.25,-9.60
31.820,4.34,-1.43,-9.60
31.822,4.24,-1.22,-9.60
31.824,4.25,-1.30,-9.62
31.827,4.36,-1.53,-9.61
31.830,4.29,-1.37,-9.62
31.831,4.22,-1.37,-9.62
31.833,4.30,-1.68,-9.62
31.834,4.25,-1.64,-9.60
31.836,4.10,-1.57,-9.61
31.838,4.14,-1.92,-9.60
31.840,4.08,-1.95,-9.59
31.842,3.88,-1.80,-9.56
31.844,3.86,-2.08,-9.54
31.846,3.82,-2.19,-9.49
31.848,3.56,-1.93,-9.45
31.850,3.46,-2.09,-9.40
31.852,3.42,-2.23,-9.34
31.854,3.13,-1.96,-9.28
31.856,2.96,-2.02,-9.23
31.858,2.92,-2.24,-9.16
31.861,2.69,-2.01,-9.10
31.863,2.49,-1.93,-9.05
31.864,2.48,-2.19,-8.98
31.866,2.31,-1.93,-8.92
31.868,2.09,-1.73,-8.86
31.870,2.10,-1.92,-8.80
31.873,2.00,-1.73,-8.74
31.875,1.77,-1.43,-8.66
31.876,1.76,-1.55,-8.60
31.880,1.72,-1.48,-8.52
31.881,1.47,-1.07,-8.44
31.882,1.40,-1.12,-8.36
31.884,1.39,-1.13,-8.27
31.886,1.16,-0.76,-8.18
31.888,1.06,-0.74,-8.10
31.890,1.07,-0.87,-8.00
31.894,0.91,-0.54,-7.91
31.895,0.77,-0.43,-7.80
31.897,0.82,-0.66,-7.71
31.898,0.70,-0.36,-7.60
31.901,0.55,-0.18,-7.49
31.903,0.63,-0.39,-7.37
31.905,0.59,-0.22,-7.24
31.907,0.43,0.03,-7.12
31.910,0.49,-0.14,-6.99
31.910,0.53,-0.09,-6.86
31.913,0.36,0.27,-6.72
31.914,0.39,0.16,-6.58
31.916,0.47,0.11,-6.43
31.918,0.33,0.49,-6.29
31.920,0.29,0.47,-6.15
31.922,0.38,0.30,-6.00
31.924,0.25,0.60,-5.86
31.927,0.17,0.64,-5.73
31.928,0.27,0.37,-5.61
31.930,0.18,0.61,-5.48
31.932,0.07,0.73,-5.37
31.935,0.18,0.47,-5.25
31.936,0.16,0.60,-5.15
31.938,0.02,0.81,-5.05
31.940,0.12,0.58,-4.96
31.942,0.18,0.57,-4.87
31.945,0.05,0.84,-4.79
31.946,0.14,0.65,-4.71
31.948,0.25,0.53,-4.64
31.950,0.16,0.79,-4.57
31.953,0.22,0.67,-4.51
31.954,0.39,0.43,-4.44
31.956,0.35,0.67,-4.39
31.959,0.36,0.65,-4.33
31.960,0.56,0.33,-4.27
31.962,0.55,0.52,-4.23
31.964,0.54,0.57,-4.17
31.966,0.73,0.23,-4.12
31.968,0.76,0.33,-4.06
31.971,0.71,0.47,-4.00
31.972,0.85,0.21,-3.94
31.975,0.92,0.22,-3.88
31.977,0.80,0.51,-3.82
31.979,0.86,0.38,-3.75
31.980,0.95,0.35,-3.69
31.983,0.78,0.73,-3.62
31.985,0.78,0.74,-3.55
31.987,0.83,0.70,-3.47
31.989,0.69,1.10,-3.39
31.992,0.61,1.26,-3.31
31.995,0.66,1.17,-3.21
31.995,0.53,1.58,-3.13
31.997,0.35,1.86,-3.03
31.999,0.37,1.77,-2.93
32.001,0.22,2.13,-2.82
32.004,-0.03,2.50,-2.72
32.005,-0.07,2.46,-2.61
32.007,-0.22,2.72,-2.49
32.009,-0.54,3.17,-2.37
32.012,-0.66,3.15,-2.25
32.013,-0.79,3.27,-2.12
32.015,-1.15,3.72,-1.98
32.017,-1.33,3.73,-1.85
32.019,-1.46,3.71,-1.71
32.021,-1.76,4.13,-1.59
32.023,-2.00,4.26,-1.49
32.025,-2.11,4.19,-1.37
32.027,-2.42,4.64,-1.26
32.029,-2.73,4.90,-1.17
32.031,-2.84,4.83,-1.09
32.033,-3.14,5.28,-1.00
32.035,-3.49,5.67,-0.94
32.037,-3.65,5.68,-0.87
32.039,-3.93,6.04,-0.80
32.043,-4.35,6.52,-0.73
32.044,-4.59,6.58,-0.67
32.045,-4.84,6.82,-0.58
32.047,-5.30,7.39,-0.50
32.050,-5.56,7.51,-0.42
32.051,-5.75,7.62,-0.33
32.054,-6.15,8.23,-0.27
32.055,-6.44,8.46,-0.19
32.057,-6.55,8.54,-0.11
32.059,-6.91,9.01,-0.02
32.061,-7.17,9.23,0.05
32.063,-7.23,9.14,0.15
32.066,-7.44,9.41,0.25
32.067,-7.70,9.65,0.36
32.069,-7.75,9.44,0.49
32.071,-7.87,9.57,0.63
32.073,-8.10,9.75,0.78
32.076,-8.11,9.48,0.93
32.077,-8.12,9.41,1.11
32.079,-8.34,9.66,1.30
32.081,-8.33,9.43,1.47
32.083,-8.27,9.26,1.67
32.085,-8.40,9.48,1.86
32.087,-8.39,9.31,2.03
32.089,-8.24,8.99,2.21
32.092,-8.27,9.19,2.39
32.094,-8.26,9.12,2.54
32.095,-8.05,8.74,2.69
32.097,-8.02,8.80,2.84
32.099,-7.99,8.75,2.97
32.101,-7.74,8.34,3.09
32.103,-7.60,8.28,3.22
32.106,-7.57,8.37,3.33
32.107,-7.35,8.00,3.43
32.109,-7.12,7.87,3.54
32.111,-7.12,8.01,3.63
32.113,-6.88,7.68,3.73
32.116,-6.64,7.44,3.83
32.118,-6.59,7.60,3.95
32.119,-6.41,7.40,4.04
32.121,-6.16,7.15,4.16
32.123,-6.09,7.34,4.25
32.125,-5.93,7.42,4.32
32.128,-5.64,7.23,4.40
32.129,-5.55,7.42,4.49
32.132,-5.50,7.50,4.57
32.133,-5.27,7.23,4.67
32.135,-5.20,7.32,4.78
32.137,-5.28,7.52,4.88
32.139,-5.17,7.30,4.97
32.142,-5.14,7.34,5.03
32.146,-5.34,7.70,5.08
32.147,-5.32,7.58,5.09
32.148,-5.33,7.64,5.09
32.150,-5.59,8.09,5.09
32.152,-5.69,8.10,5.05
32.154,-5.75,8.11,5.02
32.156,-6.01,8.56,4.98
32.158,-6.22,8.74,4.93
32.159,-6.31,8.72,4.88
32.162,-6.60,9.11,4.83
32.164,-6.92,9.38,4.77
32.166,-7.05,9.26,4.70
32.172,-7.35,9.52,4.64
32.173,-7.73,9.75,4.55
32.174,-7.91,9.53,4.46
32.175,-8.17,9.56,4.37
32.178,-8.61,9.78,4.28
32.179,-8.84,9.52,4.19
32.180,-9.06,9.40,4.10
32.183,-9.41,9.58,4.02
32.184,-9.64,9.31,3.94
32.186,-9.74,9.04,3.87
32.190,-10.06,9.21,3.82
32.190,-10.24,9.04,3.75
32.192,-10.23,8.73,3.71
32.194,-10.42,8.80,3.67
32.196,-10.52,8.70,3.63
32.198,-10.42,8.32,3.61
32.199,-10.44,8.39,3.59
32.201,-10.53,8.44,3.57
32.204,-10.37,8.06,3.55
32.206,-10.27,7.98,3.56
32.207,-10.31,8.07,3.56
32.210,-10.12,7.70,3.56
32.211,-9.94,7.52,3.58
32.214,-9.94,7.64,3.58
32.217,-9.76,7.32,3.59
32.218,-9.49,7.02,3.60
32.219,-9.47,7.20,3.61
32.221,-9.35,7.03,3.61
32.224,-9.05,6.73,3.59
32.226,-9.02,6.86,3.57
32.229,-8.91,6.80,3.52
32.230,-8.63,6.46,3.47
32.232,-8.53,6.58,3.40
32.234,-8.50,6.66,3.33
32.236,-8.26,6.35,3.25
32.238,-8.12,6.38,3.17
32.240,-8.16,6.54,3.07
32.242,-7.97,6.24,2.99
32.244,-7.81,6.16,2.90
32.246,-7.85,6.39,2.83
32.248,-7.71,6.16,2.74
32.250,-7.52,5.95,2.68
32.252,-7.58,6.21,2.60
32.259,-7.53,6.07,2.53
32.260,-7.32,5.78,2.46
32.261,-7.36,5.96,2.40
32.261,-7.34,5.95,2.33
32.262,-7.13,5.54,2.28
32.264,-7.09,5.62,2.23
32.266,-7.12,5.72,2.20
32.268,-6.95,5.29,2.16
32.270,-6.85,5.15,2.12
32.272,-6.88,5.22,2.09
32.274,-6.70,4.80,2.06
32.276,-6.54,4.53,2.04
32.279,-6.56,4.60,2.03
32.280,-6.38,4.24,2.01
32.282,-6.15,3.86,1.99
32.284,-6.14,3.98,1.96
32.286,-6.00,3.74,1.94
32.288,-5.72,3.29,1.90
32.290,-5.66,3.36,1.87
32.292,-5.57,3.28,1.83
32.294,-5.28,2.82,1.80
32.296,-5.20,2.86,1.75
32.298,-5.13,2.83,1.72
32.301,-4.86,2.39,1.68
32.303,-4.72,2.31,1.64
32.304,-4.72,2.38,1.60
32.306,-4.50,2.02,1.56
32.308,-4.31,1.83,1.51
32.312,-4.36,2.00,1.48
32.313,-4.20,1.72,1.44
32.314,-4.02,1.50,1.38
32.316,-4.07,1.72,1.34
32.318,-3.98,1.53,1.29
32.321,-3.80,1.24,1.24
32.322,-3.85,1.46,1.19
32.324,-3.85,1.41,1.14
32.326,-3.68,1.06,1.07
32.329,-3.74,1.26,1.02
32.330,-3.82,1.31,0.96
32.333,-3.67,0.94,0.91
32.334,-3.69,0.99,0.86
32.336,-3.80,1.10,0.81
32.338,-3.69,0.74,0.76
32.340,-3.64,0.64,0.71
32.342,-3.80,0.83,0.67
32.345,-3.70,0.48,0.62
32.346,-3.60,0.24,0.58
32.349,-3.69,0.43,0.55
32.350,-3.63,0.21,0.51
32.352,-3.44,-0.10,0.47
32.354,-3.53,0.09,0.45
32.356,-3.48,-0.02,0.42
32.358,-3.25,-0.42,0.41
32.360,-3.21,-0.29,0.39
32.363,-3.17,-0.25,0.39
32.364,-2.92,-0.62,0.38
32.366,-2.83,-0.54,0.39
32.369,-2.80,-0.44,0.40
32.371,-2.52,-0.78,0.42
32.373,-2.33,-0.84,0.43
32.374,-2.32,-0.57,0.45
32.376,-2.10,-0.82,0.46
32.378,-1.86,-0.93,0.50
32.381,-1.87,-0.63,0.54
32.383,-1.66,-0.78,0.57
32.384,-1.42,-0.89,0.63
32.386,-1.41,-0.39,0.73
32.389,-1.31,-0.25,0.82
32.391,-1.10,-0.46,0.91
32.393,-1.14,-0.15,1.00
32.395,-1.18,-0.02,1.06
32.397,-1.03,-0.33,1.11
32.399,-1.06,-0.17,1.16
32.401,-1.15,-0.02,1.20
32.403,-1.02,-0.33,1.21
32.405,-0.97,-0.33,1.24
32.406,-1.11,-0.05,1.25
32.409,-0.98,-0.27,1.28
32.411,-0.86,-0.35,1.29
32.413,-0.94,0.06,1.34
32.415,-0.83,-0.01,1.38
32.417,-0.64,-0.14,1.42
32.419,-0.71,0.22,1.47
32.421,-0.68,0.24,1.52
32.423,-0.48,-0.01,1.56
32.425,-0.52,0.25,1.60
32.427,-0.53,0.33,1.63
32.429,-0.35,0.00,1.66
32.431,-0.34,0.12,1.69
32.433,-0.42,0.25,1.69
32.435,-0.27,-0.09,1.70
32.437,-0.23,-0.09,1.69
32.439,-0.33,0.14,1.67
32.441,-0.21,-0.12,1.66
32.444,-0.13,-0.22,1.63
32.445,-0.26,0.10,1.61
32.447,-0.21,-0.06,1.57
32.449,-0.08,-0.23,1.54
32.453,-0.23,0.07,1.50
32.453,-0.25,0.04,1.48
32.455,-0.14,-0.21,1.44
32.457,-0.24,0.03,1.41
32.459,-0.30,0.13,1.38
32.467,-0.18,-0.16,1.36
32.467,-0.24,0.04,1.34
32.468,-0.37,0.23,1.33
32.468,-0.26,-0.02,1.32
32.468,-0.29,0.10,1.32
32.471,-0.42,0.39,1.32
32.472,-0.33,0.21,1.33
32.475,-0.32,0.24,1.33
32.477,-0.43,0.56,1.35
32.478,-0.39,0.50,1.35
32.481,-0.34,0.47,1.36
32.483,-0.41,0.66,1.36
32.485,-0.41,0.68,1.36
32.487,-0.37,0.63,1.36
32.488,-0.36,0.69,1.34
32.491,-0.37,0.73,1.33
32.493,-0.33,0.68,1.31
32.495,-0.31,0.68,1.28
32.497,-0.29,0.70,1.25
32.499,-0.25,0.66,1.22
32.501,-0.21,0.64,1.18
32.504,-0.19,0.64,1.14
32.505,-0.15,0.63,1.10
32.507,-0.12,0.61,1.05
32.509,-0.09,0.62,1.01
32.511,-0.07,0.63,0.96
32.513,-0.04,0.64,0.92
32.515,-0.02,0.66,0.88
32.517,-0.00,0.67,0.84
32.519,0.01,0.68,0.80
32.521,0.00,0.69,0.76
32.523,0.00,0.65,0.71
32.525,-0.01,0.59,0.66
32.527,-0.01,0.52,0.63
32.530,-0.03,0.44,0.58
32.531,-0.04,0.34,0.54
32.533,-0.05,0.26,0.52
32.536,-0.05,0.19,0.51
32.537,-0.06,0.12,0.50
32.539,-0.06,0.04,0.50
32.543,-0.08,-0.02,0.51
32.543,-0.10,-0.09,0.52
32.546,-0.13,-0.17,0.54
32.548,-0.17,-0.24,0.56
32.552,-0.21,-0.31,0.59
32.553,-0.26,-0.37,0.62
32.553,-0.31,-0.42,0.65
32.556,-0.37,-0.47,0.68
32.559,-0.43,-0.50,0.72
32.560,-0.49,-0.50,0.76
32.562,-0.56,-0.49,0.80
32.564,-0.62,-0.46,0.83
32.565,-0.68,-0.39,0.86
32.568,-0.75,-0.32,0.89
32.569,-0.81,-0.23,0.92
32.571,-0.88,-0.13,0.94
32.573,-0.94,-0.03,0.97
32.576,-1.02,0.08,0.98
32.577,-1.10,0.20,0.99
32.579,-1.18,0.31,1.00
32.581,-1.27,0.42,1.00
32.583,-1.35,0.53,1.00
32.585,-1.45,0.62,0.99
32.587,-1.54,0.69,0.98
32.589,-1.63,0.74,0.95
32.591,-1.73,0.77,0.93
32.593,-1.82,0.80,0.90
32.595,-1.91,0.82,0.86
32.597,-1.99,0.84,0.82
32.599,-2.07,0.86,0.76
32.602,-2.14,0.87,0.70
32.604,-2.21,0.88,0.63
32.605,-2.26,0.87,0.56
32.607,-2.32,0.85,0.47
32.609,-2.38,0.82,0.38
32.611,-2.44,0.78,0.28
32.613,-2.49,0.71,0.17
32.615,-2.54,0.64,0.07
32.617,-2.59,0.54,-0.05
32.619,-2.63,0.45,-0.17
32.621,-2.68,0.35,-0.29
32.623,-2.73,0.25,-0.42
32.626,-2.77,0.17,-0.54
32.628,-2.80,0.10,-0.67
32.629,-2.84,0.04,-0.79
32.633,-2.88,-0.02,-0.91
32.634,-2.92,-0.07,-1.03
32.636,-2.94,-0.12,-1.14
32.638,-2.97,-0.18,-1.25
32.640,-3.00,-0.24,-1.34
32.642,-3.04,-0.30,-1.44
32.644,-3.06,-0.37,-1.52
32.646,-3.08,-0.43,-1.60
32.648,-3.10,-0.47,-1.67
32.654,-3.13,-0.47,-1.73
32.655,-3.14,-0.44,-1.79
32.655,-3.16,-0.40,-1.85
32.656,-3.17,-0.36,-1.90
32.657,-3.17,-0.29,-1.94
32.659,-3.18,-0.22,-1.98
32.661,-3.18,-0.16,-2.01
32.663,-3.19,-0.10,-2.04
32.665,-3.19,-0.05,-2.06
32.667,-3.19,-0.01,-2.07
32.669,-3.20,0.02,-2.08
32.671,-3.21,0.04,-2.08
32.673,-3.21,0.04,-2.07
32.675,-3.18,0.07,-2.06
32.677,-3.13,0.11,-2.03
32.679,-3.09,0.17,-1.99
32.681,-3.03,0.23,-1.95
32.683,-2.98,0.30,-1.90
32.685,-2.92,0.38,-1.85
32.687,-2.85,0.47,-1.79
32.689,-2.76,0.55,-1.72
32.691,-2.68,0.63,-1.65
32.693,-2.59,0.69,-1.57
32.695,-2.50,0.73,-1.49
32.697,-2.40,0.74,-1.39
32.699,-2.30,0.74,-1.29
32.701,-2.20,0.73,-1.18
32.703,-2.10,0.71,-1.07
32.705,-1.99,0.69,-0.94
32.708,-1.89,0.68,-0.81
32.709,-1.79,0.68,-0.68
32.711,-1.68,0.69,-0.56
32.713,-1.58,0.73,-0.43
32.715,-1.46,0.71,-0.29
32.718,-1.31,0.68,-0.15
32.719,-1.28,0.89,-0.02
32.721,-1.15,0.86,0.12
32.723,-0.94,0.74,0.24
32.725,-0.95,1.05,0.37
32.728,-0.84,1.04,0.49
32.729,-0.59,0.81,0.62
32.731,-0.62,1.12,0.73
32.733,-0.56,1.15,0.86
32.735,-0.34,0.86,0.98
32.737,-0.34,1.03,1.09
32.739,-0.31,1.05,1.20
32.741,-0.07,0.61,1.29
32.743,-0.07,0.74,1.38
32.745,-0.07,0.77,1.47
32.747,0.14,0.39,1.54
32.749,0.15,0.48,1.59
32.751,0.12,0.63,1.62
32.753,0.30,0.36,1.64
32.755,0.38,0.38,1.65
32.757,0.27,0.71,1.64
32.759,0.39,0.50,1.62
32.761,0.55,0.37,1.59
32.766,0.43,0.74,1.56
32.768,0.49,0.63,1.52
32.768,0.63,0.43,1.47
32.769,0.55,0.68,1.43
32.771,0.57,0.64,1.37
32.773,0.75,0.34,1.32
32.775,0.66,0.56,1.26
32.777,0.61,0.61,1.19
32.780,0.77,0.27,1.13
32.781,0.75,0.38,1.06
32.783,0.67,0.53,0.98
32.785,0.80,0.20,0.92
32.787,0.84,0.17,0.84
32.789,0.73,0.41,0.77
32.791,0.82,0.16,0.69
32.796,0.92,0.03,0.62
32.797,0.75,0.35,0.55
32.797,0.81,0.15,0.49
32.799,0.92,-0.07,0.42
32.801,0.83,0.20,0.37
32.803,0.84,0.16,0.32
32.806,0.99,-0.15,0.29
32.807,0.92,0.13,0.26
32.809,0.87,0.24,0.24
32.811,1.03,-0.06,0.23
32.814,0.98,0.12,0.22
32.815,0.92,0.29,0.23
32.817,1.06,0.02,0.24
32.819,1.10,0.06,0.26
32.821,0.98,0.35,0.29
32.823,1.08,0.13,0.33
32.826,1.16,0.07,0.36
32.827,1.01,0.42,0.40
32.830,1.07,0.26,0.45
32.831,1.16,0.11,0.49
32.833,1.05,0.44,0.53
32.835,1.04,0.41,0.58
32.837,1.16,0.15,0.62
32.839,1.04,0.46,0.65
32.841,0.96,0.58,0.69
32.844,1.08,0.28,0.72
32.846,0.97,0.52,0.74
32.848,0.85,0.69,0.76
32.850,0.95,0.39,0.79
32.851,0.89,0.47,0.80
32.854,0.73,0.68,0.81
32.855,0.77,0.43,0.82
32.858,0.78,0.34,0.82
32.859,0.57,0.64,0.82
32.865,0.59,0.44,0.83
32.866,0.63,0.27,0.82
32.866,0.48,0.56,0.81
32.868,0.46,0.48,0.80
32.871,0.57,0.20,0.80
32.871,0.42,0.48,0.80
32.874,0.35,0.53,0.79
32.875,0.49,0.22,0.78
32.878,0.38,0.41,0.77
32.880,0.31,0.53,0.77
32.881,0.42,0.22,0.78
32.884,0.42,0.26,0.77
32.885,0.30,0.48,0.76
32.887,0.40,0.19,0.76
32.889,0.46,0.15,0.75
32.891,0.35,0.50,0.73
32.894,0.50,0.33,0.71
32.896,0.66,0.21,0.68
32.898,0.63,0.54,0.63
32.900,0.73,0.46,0.58
32.901,0.96,0.22,0.52
32.904,0.92,0.48,0.47
32.905,0.97,0.45,0.41
32.907,1.18,0.14,0.36
32.911,1.16,0.27,0.33
32.913,1.15,0.36,0.33
32.914,1.31,0.06,0.32
32.915,1.34,0.12,0.33
32.917,1.23,0.33,0.34
32.919,1.33,0.02,0.35
32.921,1.36,-0.03,0.37
32.923,1.19,0.22,0.38
32.925,1.25,-0.09,0.39
32.927,1.27,-0.28,0.40
32.929,1.11,-0.04,0.39
32.932,1.09,-0.23,0.38
32.934,1.17,-0.51,0.36
32.935,1.01,-0.24,0.32
32.937,0.90,-0.25,0.29
32.939,1.01,-0.56,0.25
32.941,0.82,-0.32,0.21
32.944,0.69,-0.23,0.17
32.945,0.75,-0.54,0.15
32.952,0.63,-0.41,0.13
32.953,0.46,-0.20,0.12
32.954,0.50,-0.49,0.13
32.954,0.46,-0.46,0.15
32.955,0.23,-0.13,0.17
32.958,0.25,-0.35,0.21
32.959,0.25,-0.42,0.25
32.961,0.08,-0.07,0.29
32.965,0.07,-0.19,0.33
32.965,0.16,-0.37,0.38
32.968,-0.01,-0.03,0.42
32.969,-0.06,-0.02,0.46
32.972,0.04,-0.28,0.49
32.974,-0.07,-0.06,0.50
32.975,-0.14,0.04,0.51
32.978,-0.02,-0.24,0.52
32.980,-0.07,-0.14,0.52
32.982,-0.18,0.06,0.51
32.984,-0.08,-0.23,0.50
32.986,-0.09,-0.23,0.48
32.990,-0.22,0.01,0.46
32.991,-0.13,-0.28,0.45
32.992,-0.09,-0.42,0.43
32.994,-0.22,-0.16,0.41
32.996,-0.18,-0.36,0.40
32.998,-0.06,-0.63,0.39
33.000,-0.20,-0.36,0.37
33.002,-0.21,-0.43,0.37
33.004,-0.06,-0.72,0.37
33.005,-0.18,-0.53,0.36
33.008,-0.21,-0.48,0.35
33.010,-0.05,-0.80,0.35
33.012,-0.08,-0.72,0.34
33.014,-0.14,-0.55,0.34
33.015,-0.01,-0.86,0.33
33.018,0.04,-0.87,0.32
33.020,-0.07,-0.63,0.30
33.021,0.06,-0.91,0.30
33.024,0.13,-0.98,0.31
33.026,0.03,-0.69,0.33
33.028,0.13,-0.85,0.35
33.030,0.26,-1.04,0.36
33.032,0.18,-0.71,0.37
33.034,0.20,-0.71,0.40
33.036,0.40,-0.99,0.41
33.038,0.31,-0.70,0.43
33.040,0.31,-0.62,0.44
33.042,0.51,-0.89,0.46
33.044,0.47,-0.76,0.47
33.046,0.44,-0.59,0.48
33.048,0.60,-0.85,0.48
33.050,0.64,-0.81,0.47
